card-number,name-on-card,created-date,expiry-date
70120805493,Catalina Sargent,2019-01-17T10:49:31.641721,2029-01-14T10:49:31.641721
55604431442,Mitchell Gillis,2017-09-14T10:49:31.641763,2027-09-12T10:49:31.641763
20771854028,Mitchell Gillis,2018-05-29T10:49:31.641784,2028-05-26T10:49:31.641784
83707544167,Tommy Strubbe,2016-11-24T10:49:31.641806,2026-11-22T10:49:31.641806
42718934402,Betty Lewis,2017-07-09T10:49:31.641828,2027-07-07T10:49:31.641828
18806177349,Betty Lewis,2018-08-15T10:49:31.641848,2028-08-12T10:49:31.641848
96703007827,Gerry Vanhoose,2019-06-21T10:49:31.641870,2029-06-18T10:49:31.641870
77564182741,Robert Farrell,2019-05-22T10:49:31.641890,2029-05-19T10:49:31.641890
31663657886,Maxine Liesmann,2018-06-03T10:49:31.641916,2028-05-31T10:49:31.641916
13760295902,Brenda Pugh,2017-08-20T10:49:31.641937,2027-08-18T10:49:31.641937
86282228113,Calvin Capps,2018-12-09T10:49:31.641958,2028-12-06T10:49:31.641958
16099819392,Bryan Marett,2017-09-19T10:49:31.641981,2027-09-17T10:49:31.641981
60071020732,Bryan Marett,2018-11-28T10:49:31.642000,2028-11-25T10:49:31.642000
55102872139,Kelly Ward,2018-10-01T10:49:31.642023,2028-09-28T10:49:31.642023
98589286539,Evan Murray,2016-10-26T10:49:31.642045,2026-10-24T10:49:31.642045
63746971915,Guy Burns,2019-04-25T10:49:31.642065,2029-04-22T10:49:31.642065
34798406796,Jason Garrett,2018-05-04T10:49:31.642087,2028-05-01T10:49:31.642087
44611908990,Ashley Lanasa,2018-07-01T10:49:31.642108,2028-06-28T10:49:31.642108
15358949088,Patricia Mclendon,2017-09-22T10:49:31.642129,2027-09-20T10:49:31.642129
14141556117,Patricia Mclendon,2016-10-30T10:49:31.642153,2026-10-28T10:49:31.642153
98907557841,Rose Swenson,2018-01-29T10:49:31.642174,2028-01-27T10:49:31.642174
77206567451,Rose Swenson,2017-06-28T10:49:31.642193,2027-06-26T10:49:31.642193
66457300073,Essie Leisenring,2016-10-30T10:49:31.642214,2026-10-28T10:49:31.642214
64657919164,Martha Raymond,2017-03-31T10:49:31.642235,2027-03-29T10:49:31.642235
33826279124,Wendi Pasch,2019-06-25T10:49:31.642256,2029-06-22T10:49:31.642256
26327169045,Wendi Pasch,2019-06-07T10:49:31.642279,2029-06-04T10:49:31.642279
