identifier,amount,execution-date,reference,category,account-of-receiver,account-of-creator
9,803.41,2019-12-16T10:49:31.641890,thanks,transfer,DE33510125629974889896,DE10985785971549145687
30,701.30,2021-03-26T10:49:31.641890,Pasta Bar,food,DE76894768662419673111,DE10985785971549145687
42,612.69,2021-06-24T10:49:31.641890,thanks,transfer,DE93852973047302670654,DE10985785971549145687
53,833.64,2020-12-17T10:49:31.641890,easyjet,vacation,DE50139821739297986888,DE10985785971549145687
132,472.59,2021-03-03T10:49:31.641890,Lokal,food,DE50493093512418563495,DE10985785971549145687
133,518.49,2021-03-27T10:49:31.641890,Esprit,clothes,DE27235503909700305654,DE10985785971549145687
153,759.98,2019-11-29T10:49:31.641890,booking.com,vacation,DE67444719107381296569,DE10985785971549145687
188,449.97,2019-09-15T10:49:31.641890,Effing,food,DE33510125629974889896,DE10985785971549145687
225,558.38,2021-07-25T10:49:31.641890,easyjet,vacation,DE77851065666584720184,DE10985785971549145687
246,580.86,2020-08-30T10:49:31.641890,Aldi,supermarket,DE77851065666584720184,DE10985785971549145687
254,515.56,2022-02-10T10:49:31.642256,Aldi,supermarket,DE28254691836878919381,DE10985785971549145687
262,671.17,2021-12-31T10:49:31.641890,Esprit,clothes,DE98578335434393251543,DE10985785971549145687
278,970.12,2019-06-30T10:49:31.641890,thanks,transfer,DE10985785971549145687,DE10985785971549145687
293,618.68,2021-12-04T10:49:31.641890,ryanair,vacation,DE77851065666584720184,DE10985785971549145687
305,469.93,2020-11-29T10:49:31.641890,hotels.com,vacation,DE76894768662419673111,DE10985785971549145687
306,741.33,2019-08-20T10:49:31.641890,Aldi,supermarket,DE77851065666584720184,DE10985785971549145687
313,665.36,2020-02-09T10:49:31.641890,Edeka,supermarket,DE77851065666584720184,DE10985785971549145687
338,579.80,2020-11-26T10:49:31.641890,Edeka,supermarket,DE50493093512418563495,DE10985785971549145687
344,123.29,2020-12-07T10:49:31.641890,Pauly Saal,food,DE70334119137743514093,DE10985785971549145687
384,360.76,2021-07-17T10:49:31.641890,Rewe,supermarket,DE77851065666584720184,DE10985785971549145687
403,759.79,2020-12-14T10:49:31.641890,Edeka,supermarket,DE27235503909700305654,DE10985785971549145687
422,174.76,2020-12-27T10:49:31.641890,Aldi,supermarket,DE10985785971549145687,DE10985785971549145687
428,243.55,2021-12-27T10:49:31.641890,Pasta Bar,food,DE28571102327654896575,DE10985785971549145687
441,779.49,2020-05-27T10:49:31.641890,thanks,transfer,DE44305226222441557697,DE10985785971549145687
454,5.38,2020-10-05T10:49:31.641890,Lokal,food,DE46175649932131791856,DE10985785971549145687
469,162.34,2020-04-05T10:49:31.641890,Rewe,supermarket,DE51728838437501118370,DE10985785971549145687
529,580.31,2020-02-29T10:49:31.641890,thanks,transfer,DE51728838437501118370,DE10985785971549145687
557,705.17,2020-05-17T10:49:31.641890,thanks,transfer,DE28571102327654896575,DE10985785971549145687
593,376.28,2021-02-20T10:49:31.641890,thanks,transfer,DE76894768662419673111,DE10985785971549145687
596,490.41,2020-08-16T10:49:31.641890,booking.com,vacation,DE70334119137743514093,DE10985785971549145687
621,207.51,2020-12-15T10:49:31.642256,thanks,transfer,DE28254691836878919381,DE10985785971549145687
625,803.75,2019-12-06T10:49:31.641890,Rewe,supermarket,DE50493093512418563495,DE10985785971549145687
674,417.37,2020-01-26T10:49:31.641890,thanks,transfer,DE20117978677399847042,DE10985785971549145687
678,332.87,2019-10-26T10:49:31.642256,Cocolo Ramen,food,DE28254691836878919381,DE10985785971549145687
759,738.26,2021-10-24T10:49:31.641890,Zeit für Brot,food,DE33510125629974889896,DE10985785971549145687
784,542.62,2021-09-18T10:49:31.641890,Rewe,supermarket,DE10985785971549145687,DE10985785971549145687
830,639.16,2020-07-20T10:49:31.642279,Esprit,clothes,DE31852781254280985515,DE10985785971549145687
838,865.54,2019-06-24T10:49:31.641890,easyjet,vacation,DE51728838437501118370,DE10985785971549145687
860,946.57,2020-07-22T10:49:31.641890,Rewe,supermarket,DE67444719107381296569,DE10985785971549145687
887,368.42,2021-11-23T10:49:31.641890,booking.com,vacation,DE82444435329779109646,DE10985785971549145687
905,311.86,2021-02-26T10:49:31.641890,Pauly Saal,food,DE77851065666584720184,DE10985785971549145687
937,672.50,2020-07-11T10:49:31.641890,Rewe,supermarket,DE50139821739297986888,DE10985785971549145687
949,820.45,2021-10-30T10:49:31.641890,Lokal,food,DE82444435329779109646,DE10985785971549145687
996,877.43,2019-06-14T10:49:31.641890,hotels.com,vacation,DE44305226222441557697,DE10985785971549145687
1026,976.61,2020-03-10T10:49:31.641890,S.Oliver,clothes,DE28571102327654896575,DE10985785971549145687
1059,469.49,2020-02-10T10:49:31.641890,Pasta Bar,food,DE92648558961468741310,DE10985785971549145687
1100,249.15,2019-09-11T10:49:31.641890,ryanair,vacation,DE82444435329779109646,DE10985785971549145687
1115,903.49,2020-10-12T10:49:31.641890,S.Oliver,clothes,DE28571102327654896575,DE10985785971549145687
1117,388.32,2020-06-06T10:49:31.641890,thanks,transfer,DE93852973047302670654,DE10985785971549145687
1139,804.28,2020-09-25T10:49:31.641890,Rewe,supermarket,DE50561242036667643899,DE10985785971549145687
1171,517.88,2022-01-21T10:49:31.641890,Edeka,supermarket,DE67444719107381296569,DE10985785971549145687
1201,224.44,2020-08-31T10:49:31.642256,Esprit,clothes,DE28254691836878919381,DE10985785971549145687
1214,165.20,2021-12-15T10:49:31.641890,Zeit für Brot,food,DE44305226222441557697,DE10985785971549145687
1242,979.12,2020-03-30T10:49:31.641890,Rewe,supermarket,DE82444435329779109646,DE10985785971549145687
1300,687.25,2020-04-09T10:49:31.641890,thanks,transfer,DE44305226222441557697,DE10985785971549145687
1314,729.40,2020-01-23T10:49:31.641890,thanks,transfer,DE65403466947923029055,DE10985785971549145687
1330,435.20,2021-12-28T10:49:31.641890,Effing,food,DE76894768662419673111,DE10985785971549145687
